A,High,Medium,High,Low,Medium,W
H,Medium,Medium,Medium,Medium,Medium,W
A,High,High,High,Low,Medium,L
A,High,High,High,High,Medium,W
H,Low,Medium,Low,High,Medium,L
H,Medium,High,High,Medium,Medium,W
H,Medium,Low,Medium,Low,Medium,L
H,High,High,High,High,Medium,W
H,High,Medium,Medium,Low,High,L
A,Low,Medium,Medium,Medium,Medium,L
A,Medium,Medium,High,Low,High,L
A,Medium,Medium,High,Low,Medium,L
A,Low,Low,Low,Medium,Medium,L
A,Low,Medium,Medium,High,Medium,W
H,High,High,Medium,Medium,Medium,L
A,Medium,Medium,Medium,Medium,Low,W
H,Medium,Medium,Low,Medium,Medium,L
H,High,High,High,High,Medium,W
A,Medium,Medium,Medium,Medium,Medium,L
H,Low,Medium,Medium,Medium,Medium,W
H,Low,Low,Low,Medium,Medium,L
H,High,High,Medium,High,Medium,W
H,Medium,Medium,Medium,High,Medium,W
H,Medium,Medium,Medium,High,Medium,W
H,High,Medium,Medium,High,Medium,W
A,Medium,Low,Low,High,Medium,L
H,Low,Low,Low,Low,Medium,L
A,Medium,High,High,Medium,Medium,W
A,Low,Low,Low,Low,Medium,L
H,High,Medium,Medium,Medium,Medium,W
A,Medium,Low,Medium,Low,Medium,L
A,Low,Low,Medium,Low,Medium,W
A,Low,Low,Low,High,Medium,W
H,Medium,Medium,Medium,Medium,Medium,W
H,Medium,Low,Low,High,Medium,L
H,Medium,Medium,Medium,Medium,Medium,L
A,Low,Low,Low,Medium,Medium,L
H,Low,Medium,Medium,Medium,Medium,W
H,Medium,Medium,Low,High,Medium,W
H,High,High,High,High,High,W
A,High,High,High,High,Medium,L
H,Medium,Low,Low,Medium,Medium,L
A,Medium,High,Medium,High,Medium,W
A,Medium,Medium,Medium,Medium,Medium,W
A,Low,Medium,Low,Medium,Medium,W
A,Medium,Medium,Medium,Medium,Medium,W
A,Medium,High,Medium,High,Low,W
A,Low,Low,Low,Medium,Medium,W
H,High,High,Medium,High,Medium,W
A,Low,Low,Low,Low,Medium,W
H,Medium,Low,Medium,Low,Medium,L
A,Medium,High,High,Medium,Medium,L
H,High,High,Medium,High,Medium,W
