,,1stD Diff,TotYd Diff,PassY Diff,RushY Diff,TO Diff,,,,,,,
Low,Min,-19,-443,-293,-263,-6,,,,,,,
MediumLow,Q1,-5.75,-78.75,-71,-54,-1,,,,,,,
Medium,Q2,0,0,0,0,0,,,,,,,
MediumHigh,Q3,5.75,78.75,71,54,1,,,,,,,
High,Max,19,443,293,263,6,,,,,,,
,,,,,,,,,,,,,
-500,Low,,-500,Low,,-500,Low,,-500,Low,,-500,Low
-19,MediumLow,,-443,MediumLow,,-293,MediumLow,,-263,MediumLow,,-6,MediumLow
-5.75,Medium,,-78.75,Medium,,-71,Medium,,-54,Medium,,-1,Medium
0,MediumHigh,,0,MediumHigh,,0,MediumHigh,,0,MediumHigh,,0,MediumHigh
5.75,High,,78.75,High,,71,High,,54,High,,1,High
19,,,443,,,293,,,263,,,6,
